,0
230,0.0001764411135809496
231,0.0
232,0.03422980010509491
233,0.12981602549552917
234,0.00903594121336937
235,0.006023961119353771
236,4.406066000228748e-05
237,0.0
238,0.0
239,0.0
240,0.004366328474134207
241,0.0014438229845836759
242,0.00039603447658009827
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.04637324437499046
249,0.00022818034631200135
250,5.372415034798905e-05
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.022139305248856544
257,0.1494516283273697
258,0.38232237100601196
259,0.9840044975280762
260,0.9758408665657043
261,0.8944558501243591
262,0.8903430700302124
263,0.7017052173614502
264,0.13090169429779053
265,0.18871772289276123
266,0.7795053124427795
267,0.9477199912071228
268,0.9423589110374451
269,0.8935976028442383
270,0.1946135014295578
271,0.024252740666270256
272,0.18293997645378113
273,0.21033447980880737
274,0.23094291985034943
275,0.49076083302497864
276,0.3722071349620819
277,0.013008438982069492
278,0.0008148704073391855
279,4.942981468047947e-05
280,0.05847378075122833
281,0.05319701135158539
282,0.1382540911436081
283,0.09006530046463013
284,0.020086560398340225
285,0.0
286,0.0
287,0.0
288,0.019350528717041016
289,0.07278862595558167
290,0.04278138652443886
291,0.0015328836161643267
292,0.0
293,0.0
294,0.0
295,0.0
296,0.007528962567448616
297,0.002979828743264079
298,0.00041805917862802744
299,6.96765273460187e-05
300,0.0
301,0.0
302,0.0
303,0.0
304,0.00951144378632307
305,0.0007946210098452866
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.017056826502084732
313,0.00026487366994842887
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.07292495667934418
321,0.13813889026641846
322,0.3849940299987793
323,0.9184233546257019
324,0.9567779302597046
325,0.9488841891288757
326,0.9487725496292114
327,0.632709801197052
328,0.08797639608383179
329,0.11286338418722153
330,0.5230166912078857
331,0.9748268127441406
332,0.6747339367866516
333,0.1892131119966507
334,0.006800539325922728
335,0.000204016178031452
336,0.18694467842578888
337,0.35498857498168945
338,0.05848463624715805
339,0.08650285750627518
340,0.005086386576294899
341,0.0003483826294541359
342,0.0
343,0.0
344,0.1371545046567917
345,0.18666395545005798
346,0.03828703612089157
347,0.004098332021385431
348,0.0003483826294541359
349,0.0
350,0.0
351,0.0
352,0.027621567249298096
353,0.08532296866178513
354,0.03741629421710968
355,0.00041805917862802744
356,0.0
357,0.0
358,0.0
359,0.0
360,0.010269111022353172
361,0.061105623841285706
362,0.06068825349211693
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0028525309171527624
369,0.028840115293860435
370,0.0252229031175375
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.004466758109629154
377,0.0025780315045267344
378,0.0016722367145121098
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.7559138526985378
513,2773.1566055273183
514,0.9954592912523097
515,5249.20503245564
516,0.901182950660715
517,372.9657262080689
518,20572.493798994255
519,8.738606556191154
520,14.571607834889992
521,0.004314315870444709
522,6.736814997932223
523,-0.028522781410660593
524,0.9995402033281269
525,0.006956319803892979
526,3.0765088188426025e-05
527,5.079169226593403e-08
528,2.1540392553783655e-08
529,6.889888633560304e-16
530,9.51826927971772e-11
531,1.8147078022849908e-16
